2015/01/06 12:38:06 INFO  - jmeter.util.JMeterUtils: Setting Locale to fr_FR 
2015/01/06 12:38:07 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'fr_FR', using 'fr' 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: Loading user properties from: /usr/share/jmeter/bin/user.properties 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: Loading system properties from: /usr/share/jmeter/bin/system.properties 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: Copyright (c) 1998-2012 The Apache Software Foundation 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: Version 2.8.20130705 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: java.version=1.8.0_25 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Server VM 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: os.name=Linux 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: os.arch=i386 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: os.version=3.13.0-39-generic 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: Default Locale=français (France) 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: JMeter  Locale=français (France) 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: JMeterHome=/usr/share/jmeter 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: user.dir  =/data/home/mkalamalami/workspace/oasis/oasis-portal 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: PWD       =/data/home/mkalamalami/workspace/oasis/oasis-portal 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: IP: 127.0.0.1 Name: mkalamalami FullName: localhost 
2015/01/06 12:38:07 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/01/06 12:38:08 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/01/06 12:38:08 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/01/06 12:38:09 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.nimbus.NimbusLookAndFeel [Nimbus] 
2015/01/06 12:38:09 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/01/06 12:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/01/06 12:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/01/06 12:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/01/06 12:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/01/06 12:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/01/06 12:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/01/06 12:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2015/01/06 12:38:11 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/01/06 12:38:11 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/01/06 12:38:11 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/01/06 12:38:11 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2015/01/06 12:38:29 INFO  - jmeter.services.FileServer: Default base='/data/home/mkalamalami/workspace/oasis/oasis-portal' 
2015/01/06 12:38:29 INFO  - jmeter.gui.action.Load: Loading file: /data/home/mkalamalami/workspace/amf-tma-ares/branches/controles/ares2/ares2-integration-tests/jmeter/testplan.jmx 
2015/01/06 12:38:29 INFO  - jmeter.services.FileServer: Set new base='/data/home/mkalamalami/workspace/amf-tma-ares/branches/controles/ares2/ares2-integration-tests/jmeter' 
2015/01/06 12:38:29 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2015/01/06 12:38:29 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2015/01/06 12:38:29 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1382180 
2015/01/06 12:38:29 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.3 
2015/01/06 12:38:29 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2015/01/06 12:38:29 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2015/01/06 12:38:30 INFO  - jmeter.services.FileServer: Set new base='/data/home/mkalamalami/workspace/amf-tma-ares/branches/controles/ares2/ares2-integration-tests/jmeter' 
2015/01/06 12:38:37 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2015/01/06 12:38:37 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2015/01/06 12:38:37 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/01/06 12:38:37 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/01/06 12:38:37 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Affichage de dossiers 
2015/01/06 12:38:37 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Affichage de dossiers. 
2015/01/06 12:38:37 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/01/06 12:38:37 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 1 perThread 200.0 delayedStart=false 
2015/01/06 12:38:37 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2015/01/06 12:38:37 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/01/06 12:38:37 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/01/06 12:38:37 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/01/06 12:38:37 INFO  - jmeter.threads.JMeterThread: Thread started: Affichage de dossiers 1-1 
2015/01/06 12:38:37 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = mkalamalami 
2015/01/06 12:38:37 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 1 
2015/01/06 12:38:37 INFO  - jmeter.threads.JMeterThread: Thread started: Affichage de dossiers 1-2 
2015/01/06 12:38:37 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2015/01/06 12:38:37 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2015/01/06 12:38:37 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2015/01/06 12:38:37 INFO  - jmeter.threads.JMeterThread: Thread started: Affichage de dossiers 1-3 
2015/01/06 12:38:38 INFO  - jmeter.threads.JMeterThread: Thread started: Affichage de dossiers 1-4 
2015/01/06 12:38:38 INFO  - jmeter.threads.JMeterThread: Thread started: Affichage de dossiers 1-5 
2015/01/06 12:38:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Affichage de dossiers 1-5 
2015/01/06 12:38:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Affichage de dossiers 1-1 
2015/01/06 12:38:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Affichage de dossiers 1-2 
2015/01/06 12:38:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Affichage de dossiers 1-4 
2015/01/06 12:38:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Affichage de dossiers 1-3 
2015/01/06 12:38:43 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/01/06 12:38:43 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
